Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star color,Spectral class,Star type
23095,347820,86,-5.905,0,6,4
21738,748890,92,-7.346,0,6,4
24145,382993,1494,-8.84,4,1,5
38234,272830,1356,-9.29,0,6,5
32489,648430,1948.5,-10.84,0,6,5
27739,849420,1252,-7.59,4,1,5
21904,748490,1130,-7.67,4,1,5
38940,374830,1356,-9.93,0,6,5
30839,834042,1194,-10.63,0,6,5
8829,537493,1423,-10.73,9,0,5
9235,404940,1112,-11.23,9,0,5
37882,294903,1783,-7.8,0,6,5
